GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
 "00000","United States", ,MAINC1,1,"...","Personal income (millions of dollars)","Millions of dollars",791229.0,855525.0,924613.0,1016408.0,1133468.0,1244912.0,1362505.0,1495704.0,1651632.0,1855849.0,2073257.0,2313160.0,2592915.0,2779794.0,2968676.0,3279488.0,3510471.0,3719647.0,3946593.0,4267813.0,4609667.0,4897821.0,5067291.0,5409920.0,5648732.0,5940128.0,6286143.0,6673186.0,7086935.0,7601594.0,8001563.0,8650325.0,9001839.0,9155663.0,9480901.0,10028781.0,10593946.0,11372589.0,12002204.0,12438527.0,12051307.0,12541995.0,13315478.0,13998383.0,14175503.0,14983140.0,15711634.0,16115630.0,16820250.0
 "00000","United States", ,MAINC1,2,"...","Population (persons) 1/","Number of persons",201298000,203798722,206817509,209274882,211349205,213333635,215456585,217553859,219760875,222098244,224568579,227224719,229465744,231664432,233792014,235824907,237923734,240132831,242288936,244499004,246819222,249622814,252980941,256514224,259918588,263125821,266278393,269394284,272646925,275854104,279040168,282162411,284968955,287625193,290107933,292805298,295516599,298379912,301231207,304093966,306771529,309338421,311644280,313993272,316234505,318622525,321039839,323405935,325719178
 "00000","United States", ,MAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",3931,4198,4471,4857,5363,5836,6324,6875,7516,8356,9232,10180,11300,11999,12698,13906,14755,15490,16289,17455,18676,19621,20030,21090,21733,22575,23607,24771,25993,27557,28675,30657,31589,31832,32681,34251,35849,38114,39844,40904,39284,40545,42727,44582,44826,47025,48940,49831,51640
 "00998","United States (Metropolitan Portion)", ,MAINC1,1,"...","Personal income (millions of dollars)","Millions of dollars",682887.0,738007.7,796614.8,873557.2,966329.3,1064440.2,1163784.5,1278838.0,1413109.0,1586968.7,1773449.4,1986955.3,2225096.7,2389557.4,2559576.7,2827827.8,3038179.5,3230069.0,3436607.2,3728633.2,4026349.8,4283911.4,4429281.4,4725233.2,4934103.9,5183918.8,5498343.8,5835383.2,6206807.4,6675485.0,7042816.0,7637126.7,7936326.2,8073178.1,8353405.2,8840953.5,9358285.4,10075561.6,10632204.4,10992901.4,10628437.7,11060410.7,11746624.7,12375483.4,12524268.7,13274081.7,13959153.1,14353519.8,15002534.1
 "00998","United States (Metropolitan Portion)", ,MAINC1,2,"...","Population (persons) 1/","Number of persons",164895128,167255184,169682139,171626953,173356767,175042170,176604518,178263280,180008283,181975703,184058032,186353534,188345282,190315690,192291877,194279142,196452528,198806417,201072658,203299946,205602349,208307850,211321407,214460411,217430347,220223169,222933480,225693280,228641086,231595434,234561314,237501424,240268680,242807244,245137226,247655732,250186780,252791432,255453080,258151725,260731670,263193698,265527573,267939242,270241566,272677210,275143239,277525526,279806771
 "00998","United States (Metropolitan Portion)", ,MAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",4141,4412,4695,5090,5574,6081,6590,7174,7850,8721,9635,10662,11814,12556,13311,14555,15465,16247,17091,18341,19583,20565,20960,22033,22693,23539,24664,25855,27147,28824,30025,32156,33031,33249,34076,35699,37405,39857,41621,42583,40764,42024,44239,46188,46345,48681,50734,51720,53617
 "00999","United States (Nonmetropolitan Portion) *", ,MAINC1,1,"...","Personal income (millions of dollars)","Millions of dollars",108342.0,117517.3,127998.2,142850.8,167138.7,180471.8,198720.5,216866.0,238523.0,268880.3,299807.6,326204.7,367818.3,390236.6,409099.3,451660.2,472291.5,489578.0,509985.8,539179.8,583317.2,613909.6,638009.6,684686.8,714628.1,756209.2,787799.2,837802.8,880127.6,926109.0,958747.0,1013198.3,1065512.8,1082484.9,1127495.8,1187827.5,1235660.6,1297027.4,1369999.6,1445625.6,1422869.3,1481584.3,1568853.3,1622899.6,1651234.3,1709058.3,1752480.9,1762110.2,1817715.9
 "00999","United States (Nonmetropolitan Portion) *", ,MAINC1,2,"...","Population (persons) 1/","Number of persons",36402872,36543538,37135370,37647929,37992438,38291465,38852067,39290579,39752592,40122541,40510547,40871185,41120462,41348742,41500137,41545765,41471206,41326414,41216278,41199058,41216873,41314964,41659534,42053813,42488241,42902652,43344913,43701004,44005839,44258670,44478854,44660987,44700275,44817949,44970707,45149566,45329819,45588480,45778127,45942241,46039859,46144723,46116707,46054030,45992939,45945315,45896600,45880409,45912407
 "00999","United States (Nonmetropolitan Portion) *", ,MAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",2976,3216,3447,3794,4399,4713,5115,5520,6000,6701,7401,7981,8945,9438,9858,10871,11388,11847,12373,13087,14152,14859,15315,16281,16819,17626,18175,19171,20000,20925,21555,22686,23837,24153,25072,26309,27259,28451,29927,31466,30905,32107,34019,35239,35902,37198,38183,38407,39591
 "01998","Alabama (Metropolitan Portion)",5,MAINC1,1,"...","Personal income (millions of dollars)","Millions of dollars",7333.1,8022.0,8863.1,9864.5,11065.1,12354.1,13740.8,15379.9,17006.3,19195.9,21333.8,23596.8,26113.6,27632.6,29540.4,32609.5,35204.2,37303.0,39624.3,42753.2,46520.2,49585.9,52388.0,56370.1,58894.1,62378.8,66092.3,69245.0,72998.2,77868.9,80574.0,84965.5,87685.8,90228.0,94173.1,100782.0,107198.0,114895.8,120734.5,124888.7,122659.9,128092.9,133415.6,137351.5,138266.7,143500.9,149401.7,152754.8,159096.6
 "01998","Alabama (Metropolitan Portion)",5,MAINC1,2,"...","Population (persons) 1/","Number of persons",2415808,2451290,2485903,2519327,2551564,2584333,2619035,2664999,2703657,2744597,2773643,2798221,2811812,2818992,2827723,2845402,2866710,2889365,2914491,2926792,2938886,2959939,3001315,3045722,3095126,3130638,3160073,3186946,3218410,3249321,3270133,3290019,3308188,3324025,3348396,3375598,3413698,3468521,3507996,3547999,3587291,3614232,3631064,3650855,3669934,3686903,3700846,3714744,3731491
