GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
 "89104","Albany-Schenectady, NY (Combined Statistical Area)", ,MAINC4,10,"...","Personal income (millions of dollars)","Millions of dollars",3861.6,4280.2,4715.7,5076.2,5475.2,5940.5,6441.5,6896.5,7473.6,8178.5,9010.7,10074.6,11169.1,12199.9,13127.6,14497.7,15512.2,16675.7,17728.8,19201.9,21131.3,22256.3,22968.2,24390.7,25155.6,25981.8,26894.7,27780.4,29169.3,30617.0,32095.8,34442.8,35859.7,36215.5,37610.2,39486.6,40806.3,42915.7,44715.0,47151.4,47748.1,49729.5,51506.0,53375.4,54442.6,56464.0,58777.6,59947.4,62678.6
 "89104","Albany-Schenectady, NY (Combined Statistical Area)", ,MAINC4,11,"..."," Nonfarm personal income 1/","Millions of dollars",3815.8,4235.6,4672.0,5034.9,5427.0,5897.8,6403.1,6851.5,7440.8,8135.1,8951.5,10015.1,11113.1,12147.0,13085.5,14449.7,15455.9,16610.9,17658.4,19141.1,21056.0,22179.8,22907.5,24318.2,25078.4,25921.2,26837.7,27691.5,29132.5,30535.9,32005.8,34353.5,35750.9,36152.9,37530.4,39387.9,40712.7,42845.1,44628.0,47050.3,47685.0,49606.8,51346.3,53209.2,54249.2,56265.8,58658.7,59849.8,62572.3
 "89104","Albany-Schenectady, NY (Combined Statistical Area)", ,MAINC4,12,"..."," Farm income 2/","Millions of dollars",45.8,44.7,43.7,41.3,48.1,42.8,38.4,44.9,32.8,43.5,59.3,59.5,55.9,52.9,42.0,48.0,56.3,64.8,70.4,60.8,75.3,76.6,60.7,72.5,77.2,60.7,57.0,88.9,36.8,81.1,90.0,89.2,108.8,62.5,79.7,98.8,93.6,70.6,87.0,101.1,63.2,122.7,159.7,166.2,193.5,198.2,118.9,97.6,106.3
 "89104","Albany-Schenectady, NY (Combined Statistical Area)", ,MAINC4,20,"...","Population (persons) 3/","Number of persons",1002205,1013516,1032144,1048398,1049503,1047128,1049948,1049207,1053458,1056853,1055597,1049655,1050241,1051837,1056987,1059667,1063163,1068337,1072322,1082132,1089770,1099799,1108165,1115545,1120741,1124133,1124591,1121940,1117526,1115796,1116339,1119276,1122911,1129147,1138397,1145577,1150801,1157169,1160579,1164170,1166714,1168972,1169575,1171161,1172846,1173179,1173210,1173098,1176079
 "89104","Albany-Schenectady, NY (Combined Statistical Area)", ,MAINC4,30,"...","Per capita personal income (dollars) 4/","Dollars",3853,4223,4569,4842,5217,5673,6135,6573,7094,7739,8536,9598,10635,11599,12420,13681,14591,15609,16533,17744,19391,20237,20726,21864,22445,23113,23915,24761,26102,27440,28751,30772,31935,32073,33038,34469,35459,37087,38528,40502,40925,42541,44038,45575,46419,48129,50100,51102,53295
 "89104","Albany-Schenectady, NY (Combined Statistical Area)", ,MAINC4,35,"...","Earnings by place of work","Millions of dollars",3200.2,3505.3,3848.3,4132.0,4442.3,4730.5,4928.2,5311.1,5749.3,6383.3,7015.8,7573.1,8202.4,8777.1,9424.8,10525.7,11384.7,12365.4,13332.4,14588.1,15695.5,16587.9,17022.2,18103.3,18749.3,19378.5,19697.8,20279.7,21395.6,22449.2,23985.7,26077.1,27162.1,27851.4,28852.7,30104.7,30687.9,32052.8,32971.3,34156.8,34681.3,35887.1,36463.9,37581.0,38984.3,39842.3,41137.1,42047.6,43588.1
 "89104","Albany-Schenectady, NY (Combined Statistical Area)", ,MAINC4,36,"...","Less: Contributions for government social insurance 5/","Millions of dollars",251.3,269.5,304.9,341.9,422.9,465.3,478.1,529.6,573.7,652.5,739.8,785.8,902.4,966.8,1043.2,1185.7,1303.4,1431.4,1523.0,1709.5,1805.8,1830.6,1935.2,2019.7,2099.7,2204.4,2235.6,2249.6,2339.3,2441.8,2538.9,2740.3,2891.7,3001.6,3137.4,3271.9,3386.4,3534.1,3612.1,3789.1,3800.0,3848.7,3535.5,3611.4,4224.4,4402.6,4602.2,4728.0,4919.5
 "89104","Albany-Schenectady, NY (Combined Statistical Area)", ,MAINC4,37,"..."," Employee and self-employed contributions for government social insurance","Millions of dollars",115.6,124.3,139.6,153.7,189.4,209.6,216.6,232.5,250.2,281.4,322.2,351.1,408.2,442.1,472.6,524.9,595.6,659.7,704.7,794.0,852.9,857.0,921.1,949.5,986.2,1038.9,1061.6,1056.5,1106.0,1147.0,1210.3,1291.1,1357.1,1415.2,1481.7,1544.6,1608.1,1687.1,1725.9,1807.6,1855.4,1869.3,1508.9,1525.7,2042.0,2110.8,2205.8,2307.5,2423.6
 "89104","Albany-Schenectady, NY (Combined Statistical Area)", ,MAINC4,38,"..."," Employer contributions for government social insurance","Millions of dollars",135.7,145.2,165.3,188.2,233.5,255.7,261.5,297.0,323.5,371.1,417.6,434.7,494.2,524.7,570.6,660.8,707.9,771.6,818.3,915.5,952.8,973.6,1014.1,1070.2,1113.5,1165.5,1174.0,1193.1,1233.3,1294.8,1328.6,1449.2,1534.6,1586.4,1655.7,1727.3,1778.3,1847.0,1886.2,1981.5,1944.6,1979.4,2026.6,2085.7,2182.4,2291.7,2396.3,2420.5,2496.0
 "89104","Albany-Schenectady, NY (Combined Statistical Area)", ,MAINC4,42,"...","Plus: Adjustment for residence 6/","Millions of dollars",-22.8,-14.1,-12.5,-3.3,3.1,2.1,2.7,-14.0,-26.1,-35.8,-43.6,-43.1,-34.0,-33.3,-30.5,-28.1,-20.4,-14.6,-11.1,-3.9,4.4,14.1,4.1,-3.2,-23.0,-41.6,-36.8,-44.8,-54.1,-45.5,-46.7,-68.6,-42.4,-5.1,29.5,69.1,132.1,199.2,279.8,318.4,240.7,254.2,249.6,231.3,177.4,186.5,172.2,154.7,165.9
